attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	repo
longitude	geographic longitude in decimal degrees http://rs.tdwg.org/dwc/terms/decimalLongitude	numeric	degree			Missing value	nes-lter-picoeuk-mvco
longitude	ships longitude in decimal degrees	numeric	degree			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
longitude_API	Longitude of sample event provided by NES-LTER API	numeric	degree				nes-lter-eims-toi-ncp-gop
longitude_input	Longitude of sample event provided by PI	numeric	degree				nes-lter-eims-toi-ncp-gop
maxFeretDiameter	Representation of length of the ROI, approximating the largest mesh size for which the organism could be retained, determined by means specified in the image processing method	numeric	micrometer			Missing value	nes-lter-ifcb-transect-winter-2018
max_wire_out	Maximum length of trawl wire out during tow	numeric	meter				nes-lter-trawl-transect-abundance
mesh	size of the mesh of the net used	categorical	dimensionless			Missing value	nes-lter-zooplankton-transect-inventory
method_contributor	Method by which the sample was processed	categorical					nes-lter-chl-transect
minFeretDiameter	Representation of width of the ROI, approximating the smallest mesh size through which the ROI could pass, determined by means specified in the image processing method	numeric	micrometer			Missing value	nes-lter-ifcb-transect-winter-2018
mu_0	In situ phytoplankton growth rate. When nutrient limitation, µ0 = g + kNoN, with kNoN = apparent (or net) growth rates in the 100% non-nutrient-unamended bottles. When no nutrient limitation, µ0 = g + average(kNoN, kN), with kN is apparent (or net) phytoplankton growth rate in the 100% nutrient-amended bottles	numeric	perDay			Not determined because no chl-a data with iode_guality_flag = 1 or because experiment only performed with nutrient addition (no control).	nes-lter-growth-grazing-chl
mu_0_std	Uncertainty relative to µ0 estimated from the standard deviation observed on the apparent phytoplankton growth rate kNoN in nonamended nutrient treatment (see associated computation methods)	numeric	perDay			Not determined because no chl-a data with iode_guality_flag = 1 or because experiment only performed with nutrient addition (no control).	nes-lter-growth-grazing-chl
mu_N	Phytoplankton growth rate in nutrient-amended treatments (µN = g + kN, with kN = net growth rates in the 100% nutrient-amended bottles). The presence of a value in the row indicates that the incubation (row) was nutrient-limited	numeric	perDay			Not nutrient-limited, thus no value.	nes-lter-growth-grazing-chl
mu_N_std	Uncertainty relative to µN estinated from the standard deviation observed on the apparent phytoplankton growth rate kN in nutrient-amended treatment (see associated computation methods)	numeric	perDay			Not nutrient-limited, thus no value.	nes-lter-growth-grazing-chl
ncp	Rate of net community production integrated over the mixed layer as oxygen flux	numeric	millimolePerMeterSquaredPerDay			Missing value	nes-lter-eims-toi-ncp-gop
ncp_per_gop	Net community production divided by gross oxygen production	numeric	dimensionless			Missing value	nes-lter-eims-toi-ncp-gop
nearest_station	Nearest station is provided per cruise	character	 		 	 	nes-lter-nutrient-transect
nearest_station	NES-LTER standard station nearest to the sample location	character			"""NA"""	Distance greater than 2 km from NES-LTER standard station	nes-lter-chl-transect,nes-lter-doc-transect
nearest_station	NES-LTER station nearest to the sample location	character				Missing value	nes-lter-attune-fcm-discrete-transect
net_fraction	if not whole net, the portion of the net that comprises the sample	numeric	dimensionless			Missing value	nes-lter-zooplankton-transect-inventory
net_type	type of net deployed	categorical	dimensionless			Missing value	nes-lter-zooplankton-transect-inventory
niskin	Rosette bottle position number	numeric	dimensionless			Missing value	minimal-edi-package,nes-lter-attune-fcm-discrete-transect,nes-lter-chl-transect,nes-lter-doc-transect,nes-lter-npp-transect,nes-lter-nutrient-transect,nes-lter-poc-transect
niskin	"Rosette bottle position number. When multiple bottles were used to collect seawater, they are separated by ""-"". When Niskins from multiple casts were combined, casts are separated by ""|"""	character					nes-lter-growth-grazing-chl
nitrate_nitrite	Nitrate+nitrite concentration in the water column http://vocab.nerc.ac.uk/collection/P02/current/NTRA/	numeric	micromolePerLiter			Missing value	minimal-edi-package,nes-lter-nutrient-transect
nitrate_nitrite	Nitrate+nitrite concentration in the water column. URI http://vocab.nerc.ac.uk/collection/P02/current/NTRA/	numeric	micromolePerLiter			Missing value	nes-lter-nutrient-mvco
no_of_jars	The number of sample vessels preserved from the catch	numeric	number				nes-lter-trawl-transect-abundance
no_of_jars	if the sample is large and was split between multiple jars, record the number of jars or vials (jars used an synonym for whatever container type the sample is preserved in)	numeric	dimensionless			Missing value	nes-lter-zooplankton-transect-inventory
npp_rate	Net primary productivity in micrograms carbon per liter per day determined by uptake rate of labeled bicarbonate	numeric	microgramPerLiterPerDay			Missing value	nes-lter-npp-transect
occurrenceID	Darwin Core unique identifier for the ROI as an Occurrence (http://rs.tdwg.org/dwc/terms/occurrenceID)	character				Missing value	nes-lter-ifcb-transect-winter-2018
occurrenceStatus	Darwin Core presence or absence of a Taxon at a Location (http://rs.tdwg.org/dwc/terms/occurrenceStatus)	character				Missing value	nes-lter-ifcb-transect-winter-2018
percent_preserved	Percentage of sample preserved	numeric	percent				nes-lter-trawl-transect-abundance
percent_surface_irradiance	Category describing light at sample location as a percent of surface photosynthetically active radiation (PAR), calculated based on light extinction coefficient for each station	categorical				Missing value	nes-lter-npp-transect
phaeo	Concentration of phaeopigments per unit volume of the water body	numeric	microgramsPerLiter		"""NA"""	Missing value	nes-lter-chl-mvco,nes-lter-chl-transect,nes-lter-chl-transect-underway-discrete
phosphate	Phosphate concentration in the water column http://vocab.nerc.ac.uk/collection/P02/current/PHOS/	numeric	micromolePerLiter			Missing value	nes-lter-nutrient-transect
phosphate	Phosphate concentration in the water column. URI http://vocab.nerc.ac.uk/collection/P02/current/PHOS/	numeric	micromolePerLiter			Missing value	nes-lter-nutrient-mvco
potential_temperature_c	potential temperature of water in degrees Celsius when rosette bottle closed obtained from CTD bottle file	numeric	celsius			Missing value	nes-lter-attune-fcm-discrete-transect
preferred_fluo_name	Fluorometer type with better linear regression to measured chlorophyll a per cruise to match to calibration documents in ship-provided data	categorical					nes-lter-chl-transect-underway-discrete
preferred_fluorometer	Fluorometer number with better linear regression to measured chlorophyll a per cruise matching the fluorometer number in ship-provided data	categorical					nes-lter-chl-transect-underway-discrete
preparations	Substance and/or method of preservation of each sample, typically formalin or ethanol https://dwc.tdwg.org/list/#dwc_preparations	character					nes-lter-trawl-transect-abundance
preyCount	Total number of prey items per taxonomic category in the gut of fish specimen	numeric	dimensionless			no counts given on measurement values	nes-lter-fish-diet,nes-lter-fish-diet-isotope
preyNum	Unique number for prey specimen within each gut	numeric	dimensionless			unique number not provided for taxonomic group counts	nes-lter-fish-diet
preySpp	Species of prey when identificable	character				higher taxonomic resolution not available 	nes-lter-fish-diet
preyTaxa	Specific taxonomic category of prey	character				higher taxonomic resolution not available 	nes-lter-fish-diet
preyTaxon	Llopiz lab category of prey item	character			-9999.0	Empty fish gut	nes-lter-fish-diet-isotope
preyTaxon	Most general taxonomic category of prey	character					nes-lter-fish-diet
prey_mm	Length of prey	numeric	millimeter			no lengths given for counts	nes-lter-fish-diet
project_id	Identifier for project that funded the cruise (or sample when available)	categorical	 		 	 	nes-lter-chl-transect,nes-lter-nutrient-transect
project_id	Project associated to the cruise	categorical				Missing value	nes-lter-events-transect
project_id	Project associated with the sample collected	categorical				Missing value	minimal-edi-package
purpose	intention for collecting sample	categorical	dimensionless			Missing value	nes-lter-zooplankton-transect-inventory
redeuk_filename	name of original .fcs file used to identify red eukaryotes in this sample	character				Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
redeuk_leq_10um_biovolume_concentration	cubic micrometers per milliliter of seawater of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 10 um in diameter including cells counted in previous columns	numeric	micrometerCubedPerMilliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
redeuk_leq_10um_carbon_concentration	micrograms of carbon per liter of seawater of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 10 um in diameter including cells counted in previous columns	numeric	microgramsPerLiter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
redeuk_leq_10um_cells_per_ml	abundance per milliliter of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 10 um in diameter including cells counted in previous columns	numeric	numberPerMilliliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
redeuk_leq_10um_cells_per_ml	abundance per unit volume of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 10 um in diameter including cells counted in previous columns	numeric	numberPerMilliliter			Missing value	nes-lter-attune-transect-continuous
redeuk_leq_20um_biovolume_concentration	cubic micrometers per milliliter of seawater of all measured eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells less than 20 um in diameter including cells counted in previous columns http://vocab.nerc.ac.uk/collection/F02/current/F0200004/ and http://vocab.nerc.ac.uk/collection/F02/current/F0200005/	numeric	micrometerCubedPerMilliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
redeuk_leq_20um_biovolume_concentration	cubic micrometers per milliliter of seawater of all measured eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton including cells counted in previous columns http://vocab.nerc.ac.uk/collection/F02/current/F0200004/ http://vocab.nerc.ac.uk/collection/F02/current/F0200005/	numeric	micrometerCubedPerMilliter			Missing value	nes-lter-attune-transect-continuous
redeuk_leq_20um_carbon_concentration	micrograms of carbon per liter of seawater of all measured eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells less than 20 um in diameter including cells counted in previous columns http://vocab.nerc.ac.uk/collection/F02/current/F0200004/ and http://vocab.nerc.ac.uk/collection/F02/current/F0200005/	numeric	microgramsPerLiter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
redeuk_leq_20um_carbon_concentration	micrograms of carbon per liter of seawater of all measured eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton including cells counted in previous columns http://vocab.nerc.ac.uk/collection/F02/current/F0200004/ http://vocab.nerc.ac.uk/collection/F02/current/F0200005/	numeric	microgramsPerLiter			Missing value	nes-lter-attune-transect-continuous
redeuk_leq_20um_cells_per_ml	abundance per unit volume of eukaryote picophytoplankton including those that exceed the typical picoplankton size http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/ http://vocab.nerc.ac.uk/collection/F02/current/F0200004/ http://vocab.nerc.ac.uk/collection/F02/current/F0200005/	numeric	numberPerMilliliter			Missing value	nes-lter-picoeuk-mvco
redeuk_leq_20um_cells_per_ml	abundance per milliliter of all measured eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells less than 20 um in diameter including cells counted in previous columns http://vocab.nerc.ac.uk/collection/F02/current/F0200004/ and http://vocab.nerc.ac.uk/collection/F02/current/F0200005/	numeric	numberPerMilliliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
redeuk_leq_20um_cells_per_ml	abundance per unit volume of all measured eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton including cells counted in previous columns http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/ http://vocab.nerc.ac.uk/collection/F02/current/F0200004/ http://vocab.nerc.ac.uk/collection/F02/current/F0200005/	numeric	numberPerMilliliter			Missing value	nes-lter-attune-transect-continuous
redeuk_leq_2um_biovolume_concentration	cubic micrometers per milliliter of seawater of eukaryote (urn:lsid:algaebase.org:taxname:86701) picophytoplankton cells estimated from scattering signal to be less than 2 um in diameter	numeric	micrometerCubedPerMilliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
redeuk_leq_2um_carbon_concentration	micrograms of carbon per liter of seawater of eukaryote (urn:lsid:algaebase.org:taxname:86701) picophytoplankton cells estimated from scattering signal to be less than 2 um in diameter	numeric	microgramsPerLiter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
redeuk_leq_2um_cells_per_ml	abundance per milliliter of eukaryote (urn:lsid:algaebase.org:taxname:86701) picophytoplankton cells estimated from scattering signal to be less than 2 um in diameter	numeric	numberPerMilliliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
redeuk_leq_2um_cells_per_ml	abundance per unit volume of eukaryote (urn:lsid:algaebase.org:taxname:86701) picophytoplankton cells estimated from scattering signal to be less than 2 um in diameter	numeric	numberPerMilliliter			Missing value	nes-lter-attune-transect-continuous
redeuk_leq_3um_biovolume_concentration	cubic micrometers per milliliter of seawater of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 3 um in diameter including cells counted in previous column	numeric	micrometerCubedPerMilliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
redeuk_leq_3um_carbon_concentration	micrograms of carbon per liter of seawater of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 3 um in diameter including cells counted in previous column	numeric	microgramsPerLiter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
redeuk_leq_3um_cells_per_ml	abundance per milliliter of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 3 um in diameter including cells counted in previous column	numeric	numberPerMilliliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
redeuk_leq_3um_cells_per_ml	abundance per unit volume of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 3 um in diameter including cells counted in previous column	numeric	numberPerMilliliter			Missing value	nes-lter-attune-transect-continuous
redeuk_leq_5um_biovolume_concentration	cubic micrometers per milliliter of seawater of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 5 um in diameter including cells counted in previous columns	numeric	micrometerCubedPerMilliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
redeuk_leq_5um_carbon_concentration	micrograms of carbon per liter of seawater of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 5 um in diameter including cells counted in previous columns	numeric	microgramsPerLiter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
redeuk_leq_5um_cells_per_ml	abundance per milliliter of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 5 um in diameter including cells counted in previous columns	numeric	numberPerMilliliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
redeuk_leq_5um_cells_per_ml	abundance per unit volume of eukaryote (urn:lsid:algaebase.org:taxname:86701) phytoplankton cells estimated from scattering signal to be less than 5 um in diameter including cells counted in previous columns	numeric	numberPerMilliliter			Missing value	nes-lter-attune-transect-continuous
redeuk_volume_analyzed_ml	volume of seawater analyzed in milliliters during the flow cytometry run associated with redeuk_filename	numeric	milliliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
region	Regions as categorized in Suca et al. 2018	categorical					nes-lter-fish-diet-isotope
replicate	Integer indicating replicate subsample drawn from the same Niskin	character				Missing value	nes-lter-npp-transect
replicate	Lowercase letter indicating replicate subsample	character					nes-lter-chl-transect-underway-discrete
replicate	Lowercase letter indicating replicate subsample drawn from the same rosette bottle	character	 		 	Missing value	minimal-edi-package,nes-lter-chl-transect,nes-lter-doc-transect,nes-lter-nutrient-transect,nes-lter-poc-mvco,nes-lter-poc-transect
replicate	Lowercase letter indicating replicate subsample drawn from the same rosette bottle or bucket	character			 	 	nes-lter-chl-mvco,nes-lter-nutrient-mvco
salinity	salinity calculated according to the Practical Salinity Scale of 1978 when rosette bottle closed obtained from CTD bottle file	numeric	dimensionless			Missing value	nes-lter-attune-fcm-discrete-transect
salinity	Underway thermosalinograph salinity in practical salinity units. URI http://http://vocab.nerc.ac.uk/collection/P09/current/PSAL/	numeric	dimensionless				nes-lter-eims-toi-ncp-gop
sample_id	Identifier for subsample drawn from rosette bottle	numeric	dimensionless			Missing value	minimal-edi-package,nes-lter-nutrient-transect
sample_type	Identifier for water column samples versus acidified MilliQ blanks	categorical					nes-lter-doc-transect
samplelog_QC	result of quality control step in which .fcs filenames are compared to sample logs recorded during the cruise	categorical				Missing value	nes-lter-attune-fcm-discrete-transect
scientificName	Taxon scientific name http://rs.tdwg.org/dwc/terms/scientificName	character					nes-lter-trawl-transect-abundance
scientificNameID	Taxon scientific name identifier http://rs.tdwg.org/dwc/terms/scientificNameID	character					nes-lter-trawl-transect-abundance
scientificNameID_HumanObservation	Machine-readable Life Science Identifier (LSID) from a recognized taxonomic database (e.g., World Register of Marine Species, AlgaeBase) at the lowest level that matches the data provider category, for a manual identification as basisOfRecord. This corresponds to Darwin Core terms http://rs.tdwg.org/dwc/terms/scientificNameID, http://rs.tdwg.org/dwc/terms/HumanObservation, and http://rs.tdwg.org/dwc/terms/basisOfRecord	character			NotApplicable	Several categories are not organisms thus taxonomic names are NotApplicable	nes-lter-ifcb-transect-winter-2018
scientificNameID_fish	Taxonomic serial number of fish specimen with prefix urn:lsid:itis.gov:itis_tsn:	character					nes-lter-fish-diet-isotope
scientificNameID_preyTaxon	Taxonomic serial number of prey item with prefix urn:lsid:itis.gov:itis_tsn:	character			-9999.0	Empty fish gut	nes-lter-fish-diet,nes-lter-fish-diet-isotope
scientificName_HumanObservation	Name from a recognized taxonomic database (e.g., World Register of Marine Species, AlgaeBase) at the lowest level that matches the data provider category, for a manual identification as basisOfRecord. This corresponds to Darwin Core terms http://rs.tdwg.org/dwc/terms/scientificName, http://rs.tdwg.org/dwc/terms/HumanObservation, and http://rs.tdwg.org/dwc/terms/basisOfRecord	character			NotApplicable	Several categories are not organisms thus taxonomic names are NotApplicable	nes-lter-ifcb-transect-winter-2018
scientificName_Rank	Taxonomic level of identification	categorical				Empty fish gut	nes-lter-fish-diet
scientificName_fish	Scientific name of fish specimen	character					nes-lter-fish-diet-isotope
scientificName_preyTaxon	Scientific name of prey item	character			-9999.0	Empty fish gut	nes-lter-fish-diet,nes-lter-fish-diet-isotope
ship	Name of vessel from which samples were collected	character			 	 	nes-lter-chl-mvco,nes-lter-events-mvco,nes-lter-fcm-discrete-mvco,nes-lter-nutrient-mvco,nes-lter-poc-mvco
silicate	Silicate concentration in the water column URI http://vocab.nerc.ac.uk/collection/P02/current/SLCA/	numeric	micromolePerLiter			Missing value	nes-lter-nutrient-mvco
silicate	Silicate concentration in the water column http://vocab.nerc.ac.uk/collection/P02/current/SLCA/	numeric	micromolePerLiter			Missing value	nes-lter-nutrient-transect
size_calibration_flag	flag to indicate suspicious size estimates based on comparison to concurrent IFCB data. A value of 1 indicates that data is flagged; 0 indicates it is trusted. Size estimates influence bin delineations for redeuk groups, as well as biovolume and carbon products for all groups	categorical					nes-lter-attune-transect-continuous
size_fraction	Size fraction of the computed rate	categorical					nes-lter-growth-grazing-chl
stableisotope_sizerange	smaller to larger range of um of sample sieves	categorical	dimensionless			Missing value	nes-lter-zooplankton-transect-inventory
station	longitudinal stations along established NES-LTER transect and MVCO; if station does not begin with an L, it is an opportunistic sample collected off of the longitudinal transect. 	character	dimensionless			Missing value	nes-lter-zooplankton-transect-inventory
station	Station where sample was collected	numeric	dimensionless				nes-lter-fish-diet,nes-lter-fish-diet-isotope
station	NES-LTER standard station nearest to the sample location	character					nes-lter-trawl-transect-abundance
station	NES-LTER standard station from which sample was collected	character				Distance greater than 2 km from NES-LTER standard station	nes-lter-npp-transect
station	Station name used in the framework of the NES-LTER project	character					nes-lter-growth-grazing-chl
station_distance	Distance from sample location to nearest NES-LTER standard station	numeric	kilometer			Not applicable	nes-lter-doc-transect
station_distance	Distance from sample location to nearest station	numeric	kilometer			Distance to nearest station is greater than 2 km	nes-lter-nutrient-transect
station_distance	distance from sample location to nearest NES-LTER station	numeric	kilometer			Distance greater than 2 km from NES-LTER station	nes-lter-attune-fcm-discrete-transect
syn_biovolume_concentration	cubic micrometers per milliliter of seawater of Synechococcus (urn:lsid:marinespecies.org:taxname:160572) equivalent to Orange fluorescing prokaryote picophytoplankton https://vocab.nerc.ac.uk/collection/F02/current/F0200003/	numeric	micrometerCubedPerMilliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
syn_carbon_concentration	micrograms of carbon per liter of seawater of Synechococcus (urn:lsid:marinespecies.org:taxname:160572) equivalent to Orange fluorescing prokaryote picophytoplankton https://vocab.nerc.ac.uk/collection/F02/current/F0200003/	numeric	microgramsPerLiter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
syn_cells_per_ml	abundance per unit volume of Synechococcus (urn:lsid:marinespecies.org:taxname:160572) equivalent to Orange fluorescing prokaryote picophytoplankton http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/ https://vocab.nerc.ac.uk/collection/F02/current/F0200003/	numeric	numberPerMilliliter			Missing value	nes-lter-attune-transect-continuous
syn_cells_per_ml	abundance per unit volume of Synechococcus equivalent to Orange fluorescing prokaryote picophytoplankton http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/ https://vocab.nerc.ac.uk/collection/F02/current/F0200003/	numeric	numberPerMilliliter			Missing value	nes-lter-picoeuk-mvco
syn_cells_per_ml	abundance per milliliter of Synechococcus (urn:lsid:marinespecies.org:taxname:160572) equivalent to Orange fluorescing prokaryote picophytoplankton https://vocab.nerc.ac.uk/collection/F02/current/F0200003/	numeric	numberPerMilliliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
syn_filename	name of original .fcs file used to identify Synechococcus in this sample	character				Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
syn_volume_analyzed_ml	volume of seawater analyzed in milliliters during the flow cytometry run associated with Syn_filename	numeric	milliliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
temperature	Underway thermosalinograph temperature in degrees Celsius. URI http://vocab.nerc.ac.uk/collection/P01/current/TEMPSZ01/	numeric	celsius				nes-lter-eims-toi-ncp-gop
temperature_incubation_avg	Average temperature during the incubation	numeric	celsius				nes-lter-growth-grazing-chl
temperature_incubation_std	Standard deviation of the temperature during the incubation	numeric	celsius				nes-lter-growth-grazing-chl
temperature_sampling	Temperature of sampling. The value provided is the mean temperature at which the rosette bottles were fired	numeric	celsius				nes-lter-growth-grazing-chl
time_UTC	Time of fish collecton in UTC	Date		hh:mm:ss		Missing data in fisheries dataset	nes-lter-fish-diet-isotope
time_exit_water	Time in UTC when the trawl net exited the water column	character					nes-lter-trawl-transect-abundance
time_in_water	Time in UTC when trawl net entered the water column	character				Missing value	nes-lter-trawl-transect-abundance
time_local	Time of sample collection in Eastern Standard Time	Date		hh:mm:ss			nes-lter-fish-diet-isotope
time_target_depth_start	Time in UTC when the net reached the depth to be sampled and began collecting sample	character					nes-lter-trawl-transect-abundance
time_target_depth_stop	Time in UTC the net left the target depth	character					nes-lter-trawl-transect-abundance
toi_source	Bottle sample from niskin or underway	categorical					nes-lter-eims-toi-ncp-gop
underway	Indication of whether underway data were collected	categorical					nes-lter-events-mvco
uniqueIdentifierFish	Unique identifier for fish specimen	character					nes-lter-fish-diet-isotope
verbatimIdentification	Taxon descriptive name  http://rs.tdwg.org/dwc/terms/verbatimIdentification	character					nes-lter-trawl-transect-abundance
vernacularName	Common name of fish specimen	character					nes-lter-fish-diet-isotope
vessel_tow_speed	Ship’s speed during tow	numeric	knot				nes-lter-trawl-transect-abundance
vol_filt_L	Volume of seawater filtered to obtain POC sample	numeric	liter				nes-lter-npp-transect
volume_analyzed_ml	volume of seawater analyzed per sample	numeric	milliliter			Missing value	nes-lter-attune-transect-continuous
volume_imaged	Volume of seawater for which images were collected per sample.	numeric	milliliter			Missing value	nes-lter-ifcb-transect-winter-2018
